firstName,lastName,hireDate,seasons
Barry,Alvarez,,"[{'school': 'Wisconsin', 'year': 2005, 'games': 13, 'wins': 10, 'losses': 3, 'ties': 0, 'preseasonRank': None, 'postseasonRank': 15, 'srs': 13.2, 'spOverall': 11.1, 'spOffense': 35.3, 'spDefense': 24.2}]"
Chuck,Amato,1999-11-24T00:00:00.000Z,"[{'school': 'NC State', 'year': 2005, 'games': 12, 'wins': 7, 'losses': 5, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 4.4, 'spOverall': 9.4, 'spOffense': 22.1, 'spDefense': 12.7}]"
Tom,Amstutz,2000-12-12T00:00:00.000Z,"[{'school': 'Toledo', 'year': 2005, 'games': 12, 'wins': 9, 'losses': 3, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 3.9, 'spOverall': 7.6, 'spOffense': 32.7, 'spDefense': 25.1}]"
Chris,Ault,,"[{'school': 'Nevada', 'year': 2005, 'games': 12, 'wins': 9, 'losses': 3, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -7.6, 'spOverall': -6.5, 'spOffense': 28.4, 'spDefense': 34.9}]"
Gary,Barnett,,"[{'school': 'Colorado', 'year': 2005, 'games': 12, 'wins': 7, 'losses': 5, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 5.8, 'spOverall': 11.7, 'spOffense': 27.8, 'spDefense': 16.1}]"
Frank,Beamer,,"[{'school': 'Virginia Tech', 'year': 2005, 'games': 13, 'wins': 11, 'losses': 2, 'ties': 0, 'preseasonRank': 8, 'postseasonRank': 7, 'srs': 22, 'spOverall': 25.5, 'spOffense': 35.6, 'spDefense': 10.1}]"
Mike,Bellotti,,"[{'school': 'Oregon', 'year': 2005, 'games': 12, 'wins': 10, 'losses': 2, 'ties': 0, 'preseasonRank': None, 'postseasonRank': 12, 'srs': 16.8, 'spOverall': 18.1, 'spOffense': 35, 'spDefense': 16.9}]"
Phil,Bennett,2001-12-04T00:00:00.000Z,"[{'school': 'SMU', 'year': 2005, 'games': 11, 'wins': 5, 'losses': 6, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -8.1, 'spOverall': -13, 'spOffense': 16, 'spDefense': 29}]"
Jack,Bicknell,,"[{'school': 'Louisiana Tech', 'year': 2005, 'games': 11, 'wins': 7, 'losses': 4, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -5.3, 'spOverall': -6, 'spOffense': 23.4, 'spDefense': 29.4}]"
Larry,Blakeney,1990-12-03T00:00:00.000Z,"[{'school': 'Troy', 'year': 2005, 'games': 11, 'wins': 4, 'losses': 7, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -23.1, 'spOverall': -17.2, 'spOffense': 8.7, 'spDefense': 26}]"
Bobby,Bowden,,"[{'school': 'Florida State', 'year': 2005, 'games': 13, 'wins': 8, 'losses': 5, 'ties': 0, 'preseasonRank': 14, 'postseasonRank': 23, 'srs': 10, 'spOverall': 5.4, 'spOffense': 23.7, 'spDefense': 18.2}]"
Tommy,Bowden,,"[{'school': 'Clemson', 'year': 2005, 'games': 12, 'wins': 8, 'losses': 4, 'ties': 0, 'preseasonRank': None, 'postseasonRank': 21, 'srs': 11, 'spOverall': 12.9, 'spOffense': 31.1, 'spDefense': 18.2}]"
Jeff,Bower,,"[{'school': 'Southern Miss', 'year': 2005, 'games': 12, 'wins': 7, 'losses': 5, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 0.2, 'spOverall': 1.1, 'spOffense': 27.9, 'spDefense': 26.8}]"
Gregg,Brandon,2002-12-18T00:00:00.000Z,"[{'school': 'Bowling Green', 'year': 2005, 'games': 11, 'wins': 6, 'losses': 5, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -3.4, 'spOverall': -0.9, 'spOffense': 28.8, 'spDefense': 29.8}]"
Art,Briles,2002-12-06T00:00:00.000Z,"[{'school': 'Houston', 'year': 2005, 'games': 12, 'wins': 6, 'losses': 6, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -5.4, 'spOverall': -1, 'spOffense': 28.6, 'spDefense': 29.6}]"
J.D.,Brookhart,2003-12-15T00:00:00.000Z,"[{'school': 'Akron', 'year': 2005, 'games': 13, 'wins': 7, 'losses': 6, 'ties': 0, 'preseasonRank': 0, 'postseasonRank': 0, 'srs': -6.3, 'spOverall': -5.8, 'spOffense': 19.9, 'spDefense': 25.7}]"
Rich,Brooks,2002-12-30T00:00:00.000Z,"[{'school': 'Kentucky', 'year': 2005, 'games': 11, 'wins': 3, 'losses': 8, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -10.5, 'spOverall': -12.5, 'spOffense': 21.4, 'spDefense': 33.9}]"
Mack,Brown,,"[{'school': 'Texas', 'year': 2005, 'games': 13, 'wins': 13, 'losses': 0, 'ties': 0, 'preseasonRank': 2, 'postseasonRank': 1, 'srs': 31, 'spOverall': 35.3, 'spOffense': 47.6, 'spDefense': 12.2}]"
Watson,Brown,,"[{'school': 'UAB', 'year': 2005, 'games': 11, 'wins': 5, 'losses': 6, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -4.3, 'spOverall': 2.3, 'spOffense': 33.3, 'spDefense': 31}]"
John,Bunting,2000-12-11T00:00:00.000Z,"[{'school': 'North Carolina', 'year': 2005, 'games': 11, 'wins': 5, 'losses': 6, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': 1.1, 'spOverall': -3.5, 'spOffense': 19.9, 'spDefense': 23.4}]"
Rickey,Bustle,2001-12-13T00:00:00.000Z,"[{'school': 'Louisiana', 'year': 2005, 'games': 11, 'wins': 6, 'losses': 5, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -14.7, 'spOverall': -17.7, 'spOffense': 20.8, 'spDefense': 38.5}]"
Bill,Callahan,2004-01-09T00:00:00.000Z,"[{'school': 'Nebraska', 'year': 2005, 'games': 12, 'wins': 8, 'losses': 4, 'ties': 0, 'preseasonRank': None, 'postseasonRank': 24, 'srs': 7.6, 'spOverall': 10.3, 'spOffense': 24.2, 'spDefense': 13.8}]"
Lloyd,Carr,,"[{'school': 'Michigan', 'year': 2005, 'games': 12, 'wins': 7, 'losses': 5, 'ties': 0, 'preseasonRank': 4, 'postseasonRank': None, 'srs': 17.9, 'spOverall': 18.1, 'spOffense': 33.9, 'spDefense': 15.8}]"
Pete,Carroll,2000-12-15T00:00:00.000Z,"[{'school': 'USC', 'year': 2005, 'games': 13, 'wins': 12, 'losses': 1, 'ties': 0, 'preseasonRank': 1, 'postseasonRank': 2, 'srs': 32.6, 'spOverall': 34.7, 'spOffense': 51.6, 'spDefense': 16.9}]"
Larry,Coker,2001-02-03T00:00:00.000Z,"[{'school': 'Miami', 'year': 2005, 'games': 12, 'wins': 9, 'losses': 3, 'ties': 0, 'preseasonRank': 9, 'postseasonRank': 17, 'srs': 15.9, 'spOverall': 26, 'spOffense': 33, 'spDefense': 7}]"
Tom,Craft,2001-12-06T00:00:00.000Z,"[{'school': 'San Diego State', 'year': 2005, 'games': 12, 'wins': 5, 'losses': 7, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -0.6, 'spOverall': -2.4, 'spOffense': 26.7, 'spDefense': 29.1}]"
Sylvester,Croom,2003-12-01T00:00:00.000Z,"[{'school': 'Mississippi State', 'year': 2005, 'games': 11, 'wins': 3, 'losses': 8, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -10.4, 'spOverall': -7, 'spOffense': 16.7, 'spDefense': 23.7}]"
Bill,Cubit,2004-12-04T00:00:00.000Z,"[{'school': 'Western Michigan', 'year': 2005, 'games': 11, 'wins': 7, 'losses': 4, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -6.7, 'spOverall': -13.9, 'spOffense': 22.9, 'spDefense': 36.9}]"
Mark,Dantonio,2003-12-23T00:00:00.000Z,"[{'school': 'Cincinnati', 'year': 2005, 'games': 11, 'wins': 4, 'losses': 7, 'ties': 0, 'preseasonRank': None, 'postseasonRank': None, 'srs': -9.4, 'spOverall': -9.9, 'spOffense': 18.4, 'spDefense': 28.2}]"
