first_name,last_name,school,year,wins,losses,sp_overall,sp_offense,sp_defense,coach_name
Barry,Alvarez,Wisconsin,2005,10,3,11.1,35.3,24.2,Barry Alvarez
Chuck,Amato,NC State,2005,7,5,9.4,22.1,12.7,Chuck Amato
Tom,Amstutz,Toledo,2005,9,3,7.6,32.7,25.1,Tom Amstutz
Chris,Ault,Nevada,2005,9,3,-6.5,28.4,34.9,Chris Ault
Gary,Barnett,Colorado,2005,7,5,11.7,27.8,16.1,Gary Barnett
Frank,Beamer,Virginia Tech,2005,11,2,25.5,35.6,10.1,Frank Beamer
Mike,Bellotti,Oregon,2005,10,2,18.1,35.0,16.9,Mike Bellotti
Phil,Bennett,SMU,2005,5,6,-13.0,16.0,29.0,Phil Bennett
Jack,Bicknell,Louisiana Tech,2005,7,4,-6.0,23.4,29.4,Jack Bicknell
Larry,Blakeney,Troy,2005,4,7,-17.2,8.7,26.0,Larry Blakeney
Bobby,Bowden,Florida State,2005,8,5,5.4,23.7,18.2,Bobby Bowden
Tommy,Bowden,Clemson,2005,8,4,12.9,31.1,18.2,Tommy Bowden
Jeff,Bower,Southern Miss,2005,7,5,1.1,27.9,26.8,Jeff Bower
Gregg,Brandon,Bowling Green,2005,6,5,-0.9,28.8,29.8,Gregg Brandon
Art,Briles,Houston,2005,6,6,-1.0,28.6,29.6,Art Briles
J.D.,Brookhart,Akron,2005,7,6,-5.8,19.9,25.7,J.D. Brookhart
Rich,Brooks,Kentucky,2005,3,8,-12.5,21.4,33.9,Rich Brooks
Mack,Brown,Texas,2005,13,0,35.3,47.6,12.2,Mack Brown
Watson,Brown,UAB,2005,5,6,2.3,33.3,31.0,Watson Brown
John,Bunting,North Carolina,2005,5,6,-3.5,19.9,23.4,John Bunting
Rickey,Bustle,Louisiana,2005,6,5,-17.7,20.8,38.5,Rickey Bustle
Bill,Callahan,Nebraska,2005,8,4,10.3,24.2,13.8,Bill Callahan
Lloyd,Carr,Michigan,2005,7,5,18.1,33.9,15.8,Lloyd Carr
Pete,Carroll,USC,2005,12,1,34.7,51.6,16.9,Pete Carroll
Larry,Coker,Miami,2005,9,3,26.0,33.0,7.0,Larry Coker
Tom,Craft,San Diego State,2005,5,7,-2.4,26.7,29.1,Tom Craft
Sylvester,Croom,Mississippi State,2005,3,8,-7.0,16.7,23.7,Sylvester Croom
Bill,Cubit,Western Michigan,2005,7,4,-13.9,22.9,36.9,Bill Cubit
Mark,Dantonio,Cincinnati,2005,4,7,-9.9,18.4,28.2,Mark Dantonio
Fisher,DeBerry,Air Force,2005,4,7,-3.4,32.1,35.5,Fisher DeBerry
Darrell,Dickey,North Texas,2005,2,9,-29.2,9.6,38.9,Darrell Dickey
Bill,Doba,Washington State,2005,4,7,13.0,39.6,26.6,Bill Doba
Karl,Dorrell,UCLA,2005,10,2,8.7,39.2,30.5,Karl Dorrell
Randy,Edsall,UConn,2005,5,6,1.4,18.8,17.4,Randy Edsall
Kirk,Ferentz,Iowa,2005,7,5,20.9,38.5,17.6,Kirk Ferentz
Dennis,Franchione,Texas A&M,2005,5,6,7.3,36.9,29.6,Dennis Franchione
Ralph,Friedgen,Maryland,2005,5,6,9.0,30.3,21.4,Ralph Friedgen
Phillip,Fulmer,Tennessee,2005,5,6,12.3,23.7,11.4,Phillip Fulmer
Chan,Gailey,Georgia Tech,2005,7,5,6.9,22.7,15.8,Chan Gailey
Jeff,Genyk,Eastern Michigan,2005,4,7,-18.5,19.0,37.5,Jeff Genyk
Joe,Glenn,Wyoming,2005,4,7,-4.0,23.3,27.3,Joe Glenn
Jim,Grobe,Wake Forest,2005,4,7,-3.9,23.3,27.1,Jim Grobe
Al,Groh,Virginia,2005,7,5,5.6,29.2,23.6,Al Groh
