year,team,total_picks,weighted_draft_score,first_round_picks,second_round_picks
2005,Utah,5,14,1,0
2005,Auburn,5,29,4,0
2005,Michigan,3,19,2,1
2005,Texas,3,15,2,0
2005,West Virginia,3,13,1,0
2005,South Carolina,3,9,1,0
2005,Miami,5,21,1,1
2005,USC,5,25,2,2
2005,Troy,1,7,1,0
2005,Maryland,2,11,1,0
2005,Oklahoma,11,43,2,3
2005,Georgia,6,31,2,2
2005,Florida State,9,34,2,1
2005,Wisconsin,7,19,1,0
2005,LSU,3,15,1,1
2005,Arkansas,2,9,1,0
2005,Nebraska,4,21,1,2
2005,California,5,19,1,1
2005,Ole Miss,3,13,1,1
2005,UAB,1,7,1,0
2005,Northwestern,3,12,1,0
2005,Virginia,7,22,1,0
2005,Fresno State,2,10,1,0
2005,Houston,1,5,0,1
2005,Eastern Washington,1,5,0,1
2005,Tennessee,3,10,0,1
2005,Iowa,5,15,0,2
2005,Ohio State,3,13,0,1
2005,Howard,1,5,0,1
2005,Bethune-Cookman,1,5,0,1
2005,Washington,2,6,0,1
2005,Louisville,6,15,0,1
2005,Oklahoma State,3,10,0,1
2005,Clemson,3,11,0,1
2005,Texas A&M,3,8,0,1
2005,Illinois,2,8,0,1
2005,Northern Colorado,1,5,0,1
2005,San Diego State,3,12,0,1
2005,Syracuse,1,5,0,1
2005,Stanford,6,15,0,0
2005,Akron,1,4,0,0
2005,Indiana,1,4,0,0
2005,Arizona State,3,7,0,0
2005,Florida,3,8,0,0
2005,Notre Dame,2,6,0,0
2005,Virginia Tech,3,8,0,0
2005,Washington State,3,6,0,0
2005,Louisiana Tech,1,4,0,0
2005,Alabama,4,8,0,0
2005,UConn,2,6,0,0
2005,Iowa State,1,4,0,0
2005,Missouri,3,7,0,0
2005,Cal Poly,1,4,0,0
2005,NC State,3,7,0,0
2005,Kentucky,1,4,0,0
2005,Oregon,2,5,0,0
2005,Toledo,1,4,0,0
2005,Purdue,1,3,0,0
2005,Minnesota,1,3,0,0
2005,Southern Illinois,1,3,0,0
2005,Mississippi State,2,5,0,0
2005,Hampton,1,3,0,0
2005,Central Michigan,2,5,0,0
2005,UCLA,4,7,0,0
2005,North Carolina,3,6,0,0
2005,BYU,3,6,0,0
2005,Texas Tech,3,6,0,0
2005,Kansas State,1,3,0,0
2005,New Mexico,2,4,0,0
2005,Tulane,1,3,0,0
2005,Illinois State,1,2,0,0
2005,Kansas,1,2,0,0
2005,North Carolina A&T,1,2,0,0
2005,Cincinnati,3,5,0,0
2005,Miami (OH),1,2,0,0
2005,UNLV,2,4,0,0
2005,Wake Forest,1,2,0,0
2005,Montana,1,2,0,0
2005,Southern Miss,2,3,0,0
2005,TCU,1,2,0,0
2005,Tennessee Tech,1,2,0,0
2005,North Dakota State,1,2,0,0
2005,Temple,1,2,0,0
2005,UL Monroe,1,1,0,0
2005,Oregon State,3,3,0,0
2005,Hawai'i,1,1,0,0
2005,Louisiana,1,1,0,0
2005,Vanderbilt,2,2,0,0
2005,Ball State,3,3,0,0
2005,Colorado State,1,1,0,0
2005,Baylor,1,1,0,0
2005,Michigan State,4,4,0,0
2005,Marshall,1,1,0,0
2005,Pittsburgh,1,1,0,0
2005,UTEP,1,1,0,0
2005,The Citadel,1,1,0,0
2005,Tulsa,1,1,0,0
2005,Eastern Michigan,1,1,0,0
2005,Northern Arizona,1,1,0,0
2005,Bowling Green,1,1,0,0
2005,Harvard,1,1,0,0
2005,Penn State,0,0,0,0
2005,Memphis,0,0,0,0
2005,Boston College,0,0,0,0
2005,Colorado,0,0,0,0
2005,Boise State,0,0,0,0
2005,Western Michigan,0,0,0,0
2005,Alabama State,0,0,0,0
2005,Weber State,0,0,0,0
2005,Northwestern State,0,0,0,0
2005,Georgia Tech,0,0,0,0
2005,UCF,0,0,0,0
2005,East Carolina,0,0,0,0
2005,Furman,0,0,0,0
2005,North Dakota,0,0,0,0
2005,Nevada,0,0,0,0
2005,Cornell,0,0,0,0
2005,Wyoming,0,0,0,0
2005,Texas State,0,0,0,0
2005,Samford,0,0,0,0
2005,Arizona,0,0,0,0
2005,Maine,0,0,0,0
2005,Rutgers,0,0,0,0
2005,Kent State,0,0,0,0
2005,San José State,0,0,0,0
2005,Northern Illinois,0,0,0,0
2005,South Florida,0,0,0,0
2005,Brown,0,0,0,0
2005,Towson,0,0,0,0
2005,Florida International,0,0,0,0
2005,North Carolina Central,0,0,0,0
2005,Alabama A&M,0,0,0,0
2005,New Hampshire,0,0,0,0
2005,Arkansas State,0,0,0,0
2005,Nicholls,0,0,0,0
2005,SMU,0,0,0,0
2005,Portland State,0,0,0,0
2005,Central Arkansas,0,0,0,0
2005,Central Connecticut,0,0,0,0
2005,Delaware,0,0,0,0
2005,Coastal Carolina,0,0,0,0
2005,Elon,0,0,0,0
2005,Tennessee State,0,0,0,0
2005,App State,0,0,0,0
2005,Eastern Kentucky,0,0,0,0
