year,team,rec_rank,rec_points,draft_picks_total,draft_score_total,first_round_total,draft_years_covered,complete_window,expected_draft_score,development_residual,sp_rating,sp_ranking,conference,wins,losses,games,coach_name,coach_sp_overall,win_pct
2005,USC,1,285.12,28,118,7,3,True,41.619445045492334,76.38055495450766,34.7,2.0,Big Ten,12.0,1.0,13.0,Pete Carroll,34.7,0.9230769230769231
2005,Florida State,2,281.52,7,21,1,3,True,40.97929295251087,-19.979292952510868,5.4,51.0,ACC,8.0,5.0,13.0,Bobby Bowden,5.4,0.6153846153846154
2005,Oklahoma,3,279.2,16,64,4,3,True,40.56675049258948,23.43324950741052,19.0,16.0,SEC,8.0,4.0,12.0,Bob Stoops,19.0,0.6666666666666666
2005,Tennessee,4,276.14,10,46,4,3,True,40.02262121355523,5.977378786444767,12.3,27.0,SEC,5.0,6.0,11.0,Phillip Fulmer,12.3,0.45454545454545453
2005,Michigan,5,266.54,11,36,2,3,True,38.31554896560467,-2.3155489656046697,18.1,18.0,Big Ten,7.0,5.0,12.0,Lloyd Carr,18.1,0.5833333333333334
2005,Iowa,6,252.89,13,44,1,3,True,35.888305613049944,8.111694386950056,20.9,10.0,Big Ten,7.0,5.0,12.0,Kirk Ferentz,20.9,0.5833333333333334
2005,Georgia,7,248.26,15,44,2,3,True,35.06499889346545,8.93500110653455,22.3,8.0,SEC,10.0,3.0,13.0,Mark Richt,22.3,0.7692307692307693
2005,Nebraska,8,247.47,9,21,1,3,True,34.924521073061186,-13.924521073061186,10.3,34.0,Big Ten,8.0,4.0,12.0,Bill Callahan,10.3,0.6666666666666666
2005,Miami,9,246.36,8,28,1,3,True,34.7271408443919,-6.727140844391897,26.0,5.0,ACC,9.0,3.0,12.0,Larry Coker,26.0,0.75
2005,California,10,241.37,12,42,3,3,True,33.839818915509255,8.160181084490745,18.4,17.0,ACC,8.0,4.0,12.0,Jeff Tedford,18.4,0.6666666666666666
2005,Texas A&M,11,235.38,8,20,0,3,True,32.77467696079843,-12.77467696079843,7.3,41.0,SEC,5.0,6.0,11.0,Dennis Franchione,7.3,0.45454545454545453
2005,Florida,12,220.98,14,68,5,3,True,30.21406858887257,37.78593141112743,6.7,45.0,SEC,9.0,3.0,12.0,Urban Meyer,6.7,0.75
2005,Texas,13,218.62,15,61,2,3,True,29.794413327918058,31.205586672081942,35.3,1.0,SEC,13.0,0.0,13.0,Mack Brown,35.3,1.0
2005,LSU,14,218.34,19,54,2,3,True,29.744623720686164,24.255376279313836,20.3,12.0,SEC,11.0,2.0,13.0,Les Miles,20.3,0.8461538461538461
2005,Clemson,15,217.21,11,29,1,3,True,29.543687091500317,-0.5436870915003169,12.9,24.0,ACC,8.0,4.0,12.0,Tommy Bowden,12.9,0.6666666666666666
2005,Alabama,16,216.52,11,49,3,3,True,29.420991273678872,19.579008726321128,19.8,14.0,SEC,10.0,2.0,12.0,Mike Shula,19.8,0.8333333333333334
