year,teamId,team,classification,conference,division,expectedWins,total,conferenceGames,homeGames,awayGames,neutralSiteGames,regularSeason,postseason
2005,2,Auburn,fbs,SEC,West,,"{'games': 12, 'wins': 9, 'losses': 3, 'ties': 0}","{'games': 8, 'wins': 7, 'losses': 1, 'ties': 0}","{'games': 7, 'wins': 6, 'losses': 1, 'ties': 0}","{'games': 4, 'wins': 3, 'losses': 1, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 11, 'wins': 9, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}"
2005,5,UAB,fbs,Conference USA,East,,"{'games': 11, 'wins': 5, 'losses': 6, 'ties': 0}","{'games': 8, 'wins': 3, 'losses': 5, 'ties': 0}","{'games': 4, 'wins': 1, 'losses': 3, 'ties': 0}","{'games': 6, 'wins': 3, 'losses': 3, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 5, 'losses': 6, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,8,Arkansas,fbs,SEC,West,,"{'games': 11, 'wins': 4, 'losses': 7, 'ties': 0}","{'games': 8, 'wins': 2, 'losses': 6, 'ties': 0}","{'games': 6, 'wins': 3, 'losses': 3, 'ties': 0}","{'games': 5, 'wins': 1, 'losses': 4, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 4, 'losses': 7, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,9,Arizona State,fbs,Pac-10,,,"{'games': 12, 'wins': 7, 'losses': 5, 'ties': 0}","{'games': 9, 'wins': 5, 'losses': 4, 'ties': 0}","{'games': 7, 'wins': 4, 'losses': 3, 'ties': 0}","{'games': 4, 'wins': 2, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 6, 'losses': 5, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}"
2005,12,Arizona,fbs,Pac-10,,,"{'games': 11, 'wins': 3, 'losses': 8, 'ties': 0}","{'games': 10, 'wins': 2, 'losses': 8, 'ties': 0}","{'games': 6, 'wins': 2, 'losses': 4, 'ties': 0}","{'games': 5, 'wins': 1, 'losses': 4, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 3, 'losses': 8, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,13,Cal Poly,fcs,Great West,,,"{'games': 13, 'wins': 9, 'losses': 4, 'ties': 0}","{'games': 5, 'wins': 4, 'losses': 1, 'ties': 0}","{'games': 6, 'wins': 6, 'losses': 0, 'ties': 0}","{'games': 5, 'wins': 2, 'losses': 3, 'ties': 0}","{'games': 2, 'wins': 1, 'losses': 1, 'ties': 0}","{'games': 13, 'wins': 9, 'losses': 4, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,16,Sacramento State,fcs,Big Sky,,,"{'games': 11, 'wins': 2, 'losses': 9, 'ties': 0}","{'games': 7, 'wins': 1, 'losses': 6, 'ties': 0}","{'games': 6, 'wins': 2, 'losses': 4, 'ties': 0}","{'games': 4, 'wins': 0, 'losses': 4, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 11, 'wins': 2, 'losses': 9, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,21,San Diego State,fbs,Mountain West,,,"{'games': 12, 'wins': 5, 'losses': 7, 'ties': 0}","{'games': 10, 'wins': 4, 'losses': 6, 'ties': 0}","{'games': 6, 'wins': 3, 'losses': 3, 'ties': 0}","{'games': 6, 'wins': 2, 'losses': 4, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 12, 'wins': 5, 'losses': 7, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,23,San José State,fbs,Western Athletic,,,"{'games': 11, 'wins': 3, 'losses': 8, 'ties': 0}","{'games': 8, 'wins': 2, 'losses': 6, 'ties': 0}","{'games': 5, 'wins': 3, 'losses': 2, 'ties': 0}","{'games': 6, 'wins': 0, 'losses': 6, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 3, 'losses': 8, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,24,Stanford,fbs,Pac-10,,,"{'games': 11, 'wins': 5, 'losses': 6, 'ties': 0}","{'games': 8, 'wins': 4, 'losses': 4, 'ties': 0}","{'games': 6, 'wins': 1, 'losses': 5, 'ties': 0}","{'games': 5, 'wins': 4, 'losses': 1, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 5, 'losses': 6, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,25,California,fbs,Pac-10,,,"{'games': 12, 'wins': 8, 'losses': 4, 'ties': 0}","{'games': 10, 'wins': 6, 'losses': 4, 'ties': 0}","{'games': 6, 'wins': 4, 'losses': 2, 'ties': 0}","{'games': 5, 'wins': 3, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 7, 'losses': 4, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}"
2005,26,UCLA,fbs,Pac-10,,,"{'games': 12, 'wins': 10, 'losses': 2, 'ties': 0}","{'games': 10, 'wins': 8, 'losses': 2, 'ties': 0}","{'games': 6, 'wins': 6, 'losses': 0, 'ties': 0}","{'games': 5, 'wins': 3, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 9, 'losses': 2, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}"
2005,30,USC,fbs,Pac-10,,,"{'games': 13, 'wins': 12, 'losses': 1, 'ties': 0}","{'games': 8, 'wins': 8, 'losses': 0, 'ties': 0}","{'games': 6, 'wins': 6, 'losses': 0, 'ties': 0}","{'games': 6, 'wins': 6, 'losses': 0, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 12, 'wins': 12, 'losses': 0, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}"
2005,36,Colorado State,fbs,Mountain West,,,"{'games': 12, 'wins': 6, 'losses': 6, 'ties': 0}","{'games': 9, 'wins': 5, 'losses': 4, 'ties': 0}","{'games': 5, 'wins': 4, 'losses': 1, 'ties': 0}","{'games': 6, 'wins': 2, 'losses': 4, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 11, 'wins': 6, 'losses': 5, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}"
2005,38,Colorado,fbs,Big 12,North,,"{'games': 13, 'wins': 7, 'losses': 6, 'ties': 0}","{'games': 9, 'wins': 5, 'losses': 4, 'ties': 0}","{'games': 7, 'wins': 5, 'losses': 2, 'ties': 0}","{'games': 5, 'wins': 2, 'losses': 3, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}","{'games': 12, 'wins': 7, 'losses': 5, 'ties': 0}","{'games': 1, 'wins': 0, 'losses': 1, 'ties': 0}"
2005,41,UConn,fbs,Big East,,,"{'games': 11, 'wins': 5, 'losses': 6, 'ties': 0}","{'games': 7, 'wins': 2, 'losses': 5, 'ties': 0}","{'games': 6, 'wins': 4, 'losses': 2, 'ties': 0}","{'games': 5, 'wins': 1, 'losses': 4, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 5, 'losses': 6, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,43,Yale,fcs,Ivy,,,"{'games': 10, 'wins': 4, 'losses': 6, 'ties': 0}","{'games': 7, 'wins': 4, 'losses': 3, 'ties': 0}","{'games': 5, 'wins': 2, 'losses': 3, 'ties': 0}","{'games': 5, 'wins': 2, 'losses': 3, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 10, 'wins': 4, 'losses': 6, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,46,Georgetown,fcs,Patriot,,,"{'games': 11, 'wins': 4, 'losses': 7, 'ties': 0}","{'games': 6, 'wins': 2, 'losses': 4, 'ties': 0}","{'games': 6, 'wins': 2, 'losses': 4, 'ties': 0}","{'games': 5, 'wins': 2, 'losses': 3, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 11, 'wins': 4, 'losses': 7, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,47,Howard,fcs,MEAC,,,"{'games': 9, 'wins': 3, 'losses': 6, 'ties': 0}","{'games': 7, 'wins': 1, 'losses': 6, 'ties': 0}","{'games': 3, 'wins': 1, 'losses': 2, 'ties': 0}","{'games': 5, 'wins': 1, 'losses': 4, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}","{'games': 9, 'wins': 3, 'losses': 6, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,48,Delaware,fcs,Atlantic 10,South,,"{'games': 11, 'wins': 6, 'losses': 5, 'ties': 0}","{'games': 8, 'wins': 3, 'losses': 5, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}","{'games': 4, 'wins': 2, 'losses': 2, 'ties': 0}","{'games': 7, 'wins': 4, 'losses': 3, 'ties': 0}","{'games': 11, 'wins': 6, 'losses': 5, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
2005,50,Florida A&M,fcs,MEAC,,,"{'games': 10, 'wins': 6, 'losses': 4, 'ties': 0}","{'games': 7, 'wins': 5, 'losses': 2, 'ties': 0}","{'games': 3, 'wins': 3, 'losses': 0, 'ties': 0}","{'games': 6, 'wins': 2, 'losses': 4, 'ties': 0}","{'games': 1, 'wins': 1, 'losses': 0, 'ties': 0}","{'games': 10, 'wins': 6, 'losses': 4, 'ties': 0}","{'games': 0, 'wins': 0, 'losses': 0, 'ties': 0}"
