year,team,conference,wins,losses,games
2005,Auburn,SEC,9,3,12
2005,UAB,Conference USA,5,6,11
2005,Arkansas,SEC,4,7,11
2005,Arizona State,Pac-10,7,5,12
2005,Arizona,Pac-10,3,8,11
2005,San Diego State,Mountain West,5,7,12
2005,San José State,Western Athletic,3,8,11
2005,Stanford,Pac-10,5,6,11
2005,California,Pac-10,8,4,12
2005,UCLA,Pac-10,10,2,12
2005,USC,Pac-10,12,1,13
2005,Colorado State,Mountain West,6,6,12
2005,Colorado,Big 12,7,6,13
2005,UConn,Big East,5,6,11
2005,Florida State,ACC,8,5,13
2005,Florida,SEC,9,3,12
2005,South Florida,Big East,6,6,12
2005,Georgia Tech,ACC,7,5,12
2005,Georgia,SEC,10,3,13
2005,Hawai'i,Western Athletic,5,7,12
2005,Iowa State,Big 12,7,5,12
2005,Boise State,Western Athletic,9,4,13
2005,Idaho,Western Athletic,2,9,11
2005,Northwestern,Big Ten,7,5,12
2005,Indiana,Big Ten,4,7,11
2005,Notre Dame,FBS Independents,9,3,12
2005,Kentucky,SEC,3,8,11
2005,Louisville,Big East,9,3,12
2005,LSU,SEC,11,2,13
2005,Boston College,ACC,9,3,12
2005,Maryland,ACC,5,6,11
2005,Michigan State,Big Ten,5,6,11
2005,Michigan,Big Ten,7,5,12
2005,Minnesota,Big Ten,7,5,12
2005,Missouri,Big 12,7,5,12
2005,Ole Miss,SEC,3,8,11
2005,Duke,ACC,1,10,11
2005,East Carolina,Conference USA,5,6,11
2005,NC State,ACC,7,5,12
2005,North Carolina,ACC,5,6,11
2005,Wake Forest,ACC,4,7,11
2005,Nebraska,Big 12,8,4,12
2005,Rutgers,Big East,7,5,12
2005,New Mexico State,Western Athletic,0,12,12
2005,New Mexico,Mountain West,6,5,11
2005,Syracuse,Big East,1,10,11
2005,Bowling Green,Mid-American,6,5,11
2005,Miami (OH),Mid-American,7,4,11
2005,Ohio State,Big Ten,10,2,12
2005,Ohio,Mid-American,4,7,11
2005,Oklahoma State,Big 12,4,7,11
2005,Oklahoma,Big 12,8,4,12
2005,Tulsa,Conference USA,9,4,13
2005,Oregon State,Pac-10,5,6,11
2005,Penn State,Big Ten,11,1,12
2005,Temple,FBS Independents,0,11,11
2005,Pittsburgh,Big East,5,6,11
2005,Clemson,ACC,8,4,12
2005,Memphis,Conference USA,7,5,12
2005,Vanderbilt,SEC,5,6,11
2005,Baylor,Big 12,5,6,11
2005,Rice,Conference USA,1,10,11
2005,Texas A&M,Big 12,5,6,11
2005,Houston,Conference USA,6,6,12
2005,North Texas,Sun Belt,2,9,11
2005,Texas,Big 12,13,0,13
2005,BYU,Mountain West,6,6,12
2005,Utah,Mountain West,7,5,12
2005,Virginia,ACC,7,5,12
2005,Virginia Tech,ACC,11,2,13
2005,Washington,Pac-10,2,9,11
2005,Washington State,Pac-10,4,7,11
