year,team,conference,sp_rating,sp_ranking
2005,Texas,SEC,35.3,1.0
2005,USC,Big Ten,34.7,2.0
2005,Ohio State,Big Ten,31.2,3.0
2005,Penn State,Big Ten,29.3,4.0
2005,Miami,ACC,26.0,5.0
2005,Virginia Tech,ACC,25.5,6.0
2005,Texas Tech,Big 12,25.4,7.0
2005,Georgia,SEC,22.3,8.0
2005,Notre Dame,FBS Independents,21.8,9.0
2005,Iowa,Big Ten,20.9,10.0
2005,Auburn,SEC,20.7,11.0
2005,LSU,SEC,20.3,12.0
2005,Louisville,ACC,20.3,12.0
2005,Alabama,SEC,19.8,14.0
2005,Boston College,ACC,19.2,15.0
2005,Oklahoma,SEC,19.0,16.0
2005,California,ACC,18.4,17.0
2005,Oregon,Big Ten,18.1,18.0
2005,Michigan,Big Ten,18.1,18.0
2005,Minnesota,Big Ten,15.9,20.0
2005,West Virginia,Big 12,15.8,21.0
2005,Washington State,Pac-12,13.0,22.0
2005,Iowa State,Big 12,13.0,22.0
2005,Michigan State,Big Ten,12.9,24.0
2005,Clemson,ACC,12.9,24.0
2005,Arizona State,Big 12,12.5,26.0
2005,Tennessee,SEC,12.3,27.0
2005,Purdue,Big Ten,11.8,28.0
2005,Colorado,Big 12,11.7,29.0
2005,Wisconsin,Big Ten,11.1,30.0
2005,Fresno State,Pac-12,10.6,31.0
2005,Arkansas,SEC,10.6,31.0
2005,TCU,Big 12,10.5,33.0
2005,Nebraska,Big Ten,10.3,34.0
2005,NC State,ACC,9.4,35.0
2005,Maryland,Big Ten,9.0,36.0
2005,UCLA,Big Ten,8.7,37.0
2005,Kansas,Big 12,8.5,38.0
2005,Northwestern,Big Ten,8.0,39.0
2005,Toledo,Mid-American,7.6,40.0
2005,Texas A&M,SEC,7.3,41.0
2005,Utah,Big 12,7.2,42.0
2005,Georgia Tech,ACC,6.9,43.0
2005,Pittsburgh,ACC,6.8,44.0
2005,Florida,SEC,6.7,45.0
2005,South Carolina,SEC,6.3,46.0
2005,Kansas State,Big 12,6.1,47.0
2005,Northern Illinois,Mountain West,5.9,48.0
2005,Missouri,SEC,5.7,49.0
2005,Virginia,ACC,5.6,50.0
2005,Florida State,ACC,5.4,51.0
2005,Boise State,Pac-12,4.5,52.0
2005,Rutgers,Big Ten,4.0,53.0
2005,BYU,Big 12,2.8,54.0
2005,UTEP,Mountain West,2.4,55.0
2005,South Florida,American Athletic,2.3,56.0
2005,UAB,American Athletic,2.3,56.0
2005,Washington,Big Ten,1.9,58.0
2005,Oregon State,Pac-12,1.5,59.0
2005,Tulsa,American Athletic,1.5,59.0
2005,Arizona,Big 12,1.5,59.0
2005,UConn,FBS Independents,1.4,62.0
2005,Baylor,Big 12,1.2,63.0
2005,Oklahoma State,Big 12,1.1,64.0
2005,Southern Miss,Sun Belt,1.1,64.0
2005,Stanford,ACC,0.6,66.0
2005,Miami (OH),Mid-American,0.3,67.0
2005,New Mexico,Mountain West,0.2,68.0
2005,Bowling Green,Mid-American,-0.9,69.0
2005,Houston,Big 12,-1.0,70.0
2005,Navy,American Athletic,-2.1,71.0
2005,San Diego State,Pac-12,-2.4,72.0
2005,Hawai'i,Mountain West,-2.9,73.0
2005,Colorado State,Pac-12,-2.9,73.0
2005,Air Force,Mountain West,-3.4,75.0
2005,Memphis,American Athletic,-3.4,75.0
2005,North Carolina,ACC,-3.5,77.0
2005,Vanderbilt,SEC,-3.8,78.0
2005,Wake Forest,ACC,-3.9,79.0
